Subject,Code,Description,Professor,Core ASD,Core EPD,Core ESD,Core ISTD,Term 4,Term 5,Term 6,Term 7,Term 8,Pre-requisite,Alt-requisite,Remark
Digital Systems Laboratory,30.110,"Lectures and labs are conducted on digital logic, flip flops, FPGAs, counters, and finite state machines. The subject prepares students for the design and implementation of a final project of their choice: games, music, digital filters, wireless communications, video, or graphics. It requires extensive use of Verilog to describe and implement digital system designs. Students engage in a group-based lab and project.",Yuen Chau,0,0,0,0,1,0,1,0,0,30.002,,
Entrepreneurship,30.111,"This course focuses on the social-technical factors and forces that affect the startup process, and the scientific principles underpinning the integrated product-process-people decisions under extreme uncertainty. In 30.111, students are expected to start up a new venture based on their design projects for experiential learning. In the past few years, Kickstarter campaigns have been used as the medium of the startup projects. Lectures, studio sessions, guest panel sharing sessions and readings aid experiential learning. 30.111 is supported by an ?????ecosystem????? of entrepreneurs, venture capitalists, and designers.",Jianxi Luo,0,0,0,0,1,0,1,0,0,,,
Design and Fabrication of Microelectromechanical Systems (MEMS),30.113,"This course introduces design and fabrication of MEMS, including topics of material properties, micro-fabrication technologies, and basic principles of MEMS sensors and actuators, and applications. The first half term covers basic microfabrication techniques and process flow, MEMS materials and their properties, structural behavior and packaging. The second half term covers different sensing and actuating working principles (i.e. electrostatic, piezoelectric, piezoresistive, thermalcapacitive, microfluidics, etc.), design and analysis. A variety of MEMS device are analyzed including inertial sensors, pressure sensors, gyroscope, optical MEMS, and bioMEMS. In addition, throughout the course, a number of real-world applications are introduced and discussed. Hands-on lab sessions in cleanroom are significant components.",Tan Mei Chee,0,0,0,0,0,1,0,1,0,30.001;30.002,,
Advanced Feedback and Control,30.114,"Extending feedback control theory and applications (from 30.101 Systems & Control) to include multi-input & multi-output and discrete-time systems. Mathematical modeling and analysis of discrete time systems in various disciplines using state-space, pulse transfer function and z-transform. Relating controllability and observability and their canonical forms to synthesize and design advanced continuous and discrete-time controllers. Introduction of pole-placement based controller design and formulation of state observers.",Foong Shaohui,0,0,0,0,0,1,0,1,0,30.101,,
Digital Signal Processing,30.115,The aims of this course are to teach the students with digital signal principles and processing techniques. This course serves as a strong fundamental for digital signal processing with projects experience in audio processing and image processing.,Cai Kui,0,0,0,0,0,1,0,1,0,,,
Introduction to Nano-electronics,30.116,"Traditionally, progress in electronics has been driven by miniaturisation. When the dimension goes to nano-meter or the quantum materials were used, the traditional model of the electronics must be revised. As an introduction to nano-electronics, this class teaches the theory of current, voltage and resistance from bottom up. To describe physics at the nanoscale, we will begin with an introduction to the principles of quantum mechanics: including quantisation, the wave-particle duality, wave functions, Schr??dinger?????s equation, and electronic properties on nano-materials. We will then compare the traditional MOSFETs with nano-scale transistors.",Ricky Ang,0,0,0,0,0,1,0,1,0,30.002,,
Electric Power Systems Analysis and Design,30.117,"This is a course in electric power systems. Topics include: overview of electric transmission and distribution networks; ac transmission lines and cable systems; fundamental principles of major power system components ????? generators, transformers and motors; characteristics and requirements of power system loads; power system operation and control; earthing and safety requirements; faults in power system and protection; design of industrial and commercial distribution for mission-critical facilities; reliability analysis, risk assessment, safety and maintainability considerations; power quality and interface issues with renewable and alternative energy sources.",Teo Tee Hui,0,0,0,0,0,0,0,0,1,30.002;30.001,,
Optical Engineering & Communications,30.118,"This is an introductory optics course that will cover the theory and design principles of optics and photonics with an emphasis on applications. Optical communication systems, lightwave system components, multichannel systems, fiber optics will be covered",Dawn Tan,0,0,0,0,0,1,0,1,0,30.002;30.101,,
Intelligent Robotics,30.119,"This subject provides an overview of robot mechanisms, dynamics, and intelligent controls. Topics include planar and spatial kinematics, and motion planning; mechanism design for manipulators and mobile robots; multi-body dynamics; control design, actuators, and sensors; sensing and perception to enable intelligent behavior; and computer vision. Weekly laboratories provide experience with servo drives, real-time control, task modelling and embedded software. Students will build working robotic systems in a group-based term project.",Tan U-Xuan,0,0,0,0,0,0,0,0,1,30.002;30.101,,
Healthcare Product Design,30.123,"This project-based design course aims to teach the students in developing fundamentals of the design aspects of biomedical and healthcare devices and diagnostics. The course has been designed to educate students to solve real-life clinical problems using their engineering knowledge by designing and developing biomedical products that can be ranging from devices, in-vitro diagnostic kits, and instruments.",Subburaj Karupppasamy,0,0,0,0,0,1,0,1,0,30.007;30.001;30.002;30.101,,
Micro-Nano Projects Laboratory,30.200,"This subject introduces students to key micro-fabrication and nano-engineering techniques that serve as a ?????toolbox????? for product design in the micro/nano-technology area. Concepts, ideas and enabling tools of micro/nano-technologies are taught through hands-on intensive lab modules, which include microfluidics, micro and nano-patterning, nanomaterials and molecular scale imaging tools. Students will learn to operate some common instruments in the area of micro/nano-technology (e.g. UV exposure, plasma treatment machine, upright and inverted fluorescence microscope, nanoimprinter, scanning electron microscope), make micro/nano-scale devices and structures, perform experimental observation and improve experimental set-ups. The course is highly interdisciplinary in the development of integrative thinking of fundamental science and engineering knowledge curriculum through building, observing and manipulating objects at the micro and nano-scale. Students will have a broad view on how micro/nano-technologies are being advanced, and their huge impact on biomedical and precise manufacturing applications.",Hong Yee Low; Ye Ai,0,0,0,0,0,0,0,0,1,30.103;30.108,,
Wireless Communications and Internet of Things,30.201,"This course is an introduction to the design and analysis of wireless communications systems and internet-of-things. Students will understand the basic fundamental challenges, and study state-of-the-art technologies, in terms of internet-of-things system architecture, signaling protocol, and wireless communications techniques. Students will build a working cloud-connected wireless internet-of-things smart systems in a group-based lab and project.",Yuen Chau,0,0,0,0,0,0,0,0,1,,,
Design of Intelligent Digital Integrated Circuits and Systems,30.202,"30.202 Design of Intelligent Digital Integrated Circuits and Systems examines the device and circuit level optimization of digital building blocks. Topics covered include: MOS device models including Deep Sub-Micron effects; circuit design styles for logic, arithmetic and sequential blocks; estimation and minimization of energy consumption; interconnect models and parasitic; device sizing and logical effort; timing issues (clock skew and jitter) and active clock distribution techniques; memory architectures, circuits (sense amplifiers) and devices; testing of integrated circuits. The course employs extensive use of circuit layout and SPICE in design projects and software labs.",Teo Tee Hui,0,0,0,0,0,0,0,0,1,30.002;30.101,,
Topics in Biomedical and Healthcare Engineering,30.203,"This course will introduce students to the broad discipline of biomedical engineering, and the fundamental life science and engineering principles associated with biomedical systems and healthcare delivery. The course focuses on three key application areas of biomedical implants, instrumentation, and diagnostics, and will familiarize students with the theoretical and practical considerations relevant to the design and development of biomedical devices, tools, and systems in these areas.",Xiaojuan Khoo,0,0,0,0,1,0,1,0,0,30.001,,
Structural Mechanics and Design,30.207,"This course presents a solid foundation of the fundamentals of structural mechanics, from the macro-level of structural analysis to the molecular level of materials science and engineering. Students will learn and appreciate how structural analysis and materials response are intricately involved in the engineering product/device design process. Fundamental concepts of materials failures (including fracture, fatigue and creep) and their microstructural origins (in important engineering materials including metals, ceramics, polymers and composite ????? be it structural or elemental) will be introduced in the class, with emphasis on structural design for safety and reliability. In these aspects, the class could be likened to the popular CSI (Crime Scene Investigation) TV series where in every episode, the students will be presented with the ?????dead bodies in the crime scene????? (ie. the failed components of an engineering systems/devices) and based on the ?????forensic knowledge?????, they will be asked to ?????solve the case????? (ie. based on structural mechanics knowledge, the students of this class will solve how the engineering systems/devices fail and how that led to the final catastrophic events that result in the failed parts found in the accident scene). Relevant principles and concepts in several applications ????? from design of large mechanical structures in civil engineering, to transportation (aerospace, automotive, etc.), to marine as well as high technology often in micro/nano-scale (microelectronics, energy, solar PV, battery, etc.) industries ????? will be discussed. Throughout the course, emphasis will be placed on the foundations of structural mechanics, relevant design applications in the various fields of industries in Singapore, problem-solving, experimental design, and data analysis.",Arief Suriadi Budiman,0,0,0,0,0,0,0,0,1,30.001;30.108,,
Digital Biomimetics: Sustainable Materials and Manufacturing,30.316,"The course is a cross-disciplinary collaboration between Architecture and Sustainable Design and Engineering Product Development. It brings together material science and digital fabrication, fusing natural composites with industrial robotics, aiming to produce innovation in the realm of sustainable design and manufacturing. It suggests that designs inspired by biological processes found in nature, may assist in transforming society toward a more environmentally benign mode of production from the ground up. This process starts from the understanding of the principles behind structural biological systems and the development of tools embracing the paradigm imposed by nature instead of those predefined by the existing manufacturing technologies. As a research and design course, students are required to develop their own proposals, methods and artifact which may lead to publication of results in journals and conferences.",Javier G. Fernandez; Stylianos Dritsas (ASD),0,0,0,0,1,0,1,0,0,30.001;30.007,,
Probability,40.001,"The course aims at providing the students with the basic tools for modelling and analysing situations that involve uncertainty and will consider applications in various fields. The course will develop a rigorous analysis of finite probability models and provide an introduction to infinite models. The course will cover the following topics: axioms of probability, conditional probability and independence, random variables, random vectors, probability distributions, properties of expectation and limit theorems.",,0,0,1,0,1,0,1,0,0,,,
Optimisation,40.002,"The course covers a broad range of optimisation algorithms and models. The course will cover the following topics: linear programming, simplex algorithm, duality, sensitivity analysis, two player zero-sum games, network optimisation, minimum cost flow, network simplex algorithm, integer programming, branch and bound methods, cutting plane methods, dynamic programming. Throughout the course, a number of applications from various areas will be discussed.",,0,0,1,0,1,0,1,0,0,,,
Statistics,40.004,"The course provides an introduction to applied statistics and data analysis. The course will cover the following topics: collecting and exploring data, estimation and hypothesis testing, linear regression, analysis of variance and elementary methods in non-parametric statistics. Applications and examples based on engineering systems data will be given.",,0,0,1,0,0,1,0,1,0,40.001,,
Data and Business Analytics,40.011,"This course provides an introduction to the Engineering Systems and Design pillar by focusing on using industrial or commercial data to identify an opportunity for system improvement and estimating the value of this improvement to the system owner. A signature feature of the course and the primary motivation for the course material comes from a team-based, semester-long project for an external client. Students develop skills in organising industrial projects and in presenting their results in oral, written, and poster form. In addition, problems in improving system throughput and flowtime are used throughout to motivate many of the topics. Students acquire skills in data manipulation, data visualisation, data analysis, system modelling, revenue and cost estimation, financial ratio analysis, and business simulation.",,0,0,1,0,1,0,1,0,0,,,40.001 co-requiste
Manufacturing and Service Operations,40.012,"This course introduces concepts and techniques related to the design, planning, control, and improvement of both manufacturing and service systems. The course provides basic definitions of operations management terms, tools and techniques for analyzing system operations, and a strategic context for making operational decisions. In particular, the topics covered include: Manufacturing and inventory decisions for single and multi-echelon systems under deterministic and stochastic demand in the presence or absence of production/transportation lead time; trade-off between fixed cost of production and inventory holding costs; trade-off between holding and back-order/stock-out costs;stochastic modelling and queuing analysis for analyzing transient and steady-state performance of service systems; cost analysis of multi-server queues and network of queues; priority queues; risk pooling in manufacturing and service systems.",,0,0,1,0,0,1,0,1,0,40.001;40.002,,40.001 only for non ESD
Engineering Systems Architecture,40.014,"The purpose of this course is to prepare students to exercise leadership in engineering system design by focusing on the top-level conceptual design of a system. A system architecture can be viewed as a collection of the most important design decisions defining the system. Detailed design operates within the boundaries set by this system architecture. Many of the system?€?s ultimate qualities, including security, reliability, and resilience, are determined by the system architecture and can be modified later only at great cost. It is important therefore to evaluate these qualities at the architecture level and consider numerous alternatives. This course moves through four phases of architectural thinking, namely systems thinking, systems analysis, systems creation, and tradespace exploration. Theoretical components will be complemented by case studies, practical applications, and software implementations. Students will also conduct a term-long team design project.",,0,0,1,0,0,1,0,1,0,40.001;40.002,,40.001 only for non ESD
Simulation Modelling and Analysis,40.015,This course will introduce students to various aspects of analyzing complex systems using simulation methodologies,,0,0,1,0,1,0,1,0,0,40.001,40.004;30.003;50.034,
The Analytics Edge,40.016,"The increasing availability of data is changing the way organizations are thinking about themselves and the way they interact with the world. Data is helping improve the profits of businesses, the quality of life of individuals, the predictions on performance of sports teams and social interactions. In this course you will learn how to use data and analytics to give you an edge. The course will expose students to real world examples of how analytics is being used with examples from Moneyball, Watson and the Framingham Heart Study among others. Through these examples you will learn on how to use tools of analytics such as linear regression, logistic regression, classification and regression trees, graphical models, visualization, text analytics, clustering and optimization in practice. The statistical software R and spreadsheets will be used in the course.",,0,0,1,0,1,0,1,0,0,40.002,40.004;30.003;50.034,
Investment Science,40.240,"This course will focus on the financial theory of asset pricing. While this course will be broad in scope and will cover many different topics relating to finance, a particular emphasis will be placed on topics related to financial markets. The primary topics covered in the class include present value, asset valuation, expected utility, portfolio selection, and the trade-off between risk and return.",,0,0,0,0,1,0,1,0,0,40.001,,
Derivative Pricing and Risk Management,40.242,"Introduction to the theory and practice of mathematical finance: basics of derivative securities; interest rate and bonds; forward and futures contracts, hedging using futures contracts; option contracts and arbitrage relationship; binomial model, no-arbitrage pricing, risk-neutral pricing, and American options pricing; Brownian motion, Black-Scholes-Merton model, delta hedging, Greek letters, implied volatility, and volatility smile; classical and advanced portfolio management and execution models and strategies.",,0,0,0,0,0,1,0,1,0,40.001;40.002;40.004;40.240,,
Supply Chain Management,40.260,"Introduces concepts of supply chain design and operation. Topics include demand estimation, location and capacity planning, process analysis, inventory management, revenue management, supply chain procurement and coordination, and emerging topics in supply chains. A major aspect of the class is a student project on supply chain design.",,0,0,0,0,1,0,1,0,0,40.012,40.004;30.003;50.034,
Game Theory,40.316,"The course will provide a consistent framework for game-theoretic concepts, some of which have already been informally presented to the students in other courses. The course will cover the basic concepts in game theory, allowing the students to use strategic models in their capstone research.",,0,0,0,0,0,0,0,0,1,40.001,40.004;30.003;50.034,
Financial Systems Design,40.317,"This is a course in computational finance in which students learn the tools for delivering financial services and the algorithms used to price complex financial instruments (derivatives). It also abstracts the design of financial services, focusing on interface design, which reduces to language design. Only moderate coding proficiency is required (Python 3) but there are weekly coding exercises. The design exercise is to propose an interactive, distributed trading game and to specify the interfaces.",,0,0,0,0,0,0,0,0,1,40.242,,
Supply Chain Digitalisation and Design,40.318,"Successful orchestration of planning and execution processes across virtual and global supply chain networks is a critical success factor for today?€?s businesses. This necessitates tight information integration across business functions and a strong alignment between the business and information technology functions. In the first half of the course we will study supply chain operations of a global manufacturing and distribution company, the NOVA Corporation. Using an experiential simulation of the company?€?s supply chain, we will identify common errors in the design of such systems. We will see in greater detail how logistics policies, organizational design, performance measurement systems, information flows, and even currency fluctuations can impact a company?€?s performance. Customer requirements ultimately determine a company?€?s manufacturing and distribution system requirements. The course material is unified around the theme of applying five basic principles of supply chain management to global manufacturing and logistics. The second half of the course develops a framework and process for discovering the value potential of digitalisation and ensuring value realization from investments in digital technologies.",,0,0,0,0,0,0,0,0,1,40.260,,
Statistical and Machine Learning,40.319,"An agent is intelligent if it perceives its environment and takes actions that maximize its chances of successfully achieving its goals. In this course, we will study how to imbue machines with intelligence, focusing on foundational principles and mathematical theories of real-world modeling, problem solving and statistical learning. We will borrow strategies from biological intelligence such as neural networks and reinforcement learning. Students will learn powerful concepts from decision theory, information theory, generative models, deep learning, dimensionality reduction, expectation-maximization, time-series prediction, control theory and machine reasoning, and will exploit software tools for building intelligent systems.",,0,0,0,0,0,1,0,1,0,,40.004;30.003;50.034,
Airport Systems Planning and Design,40.320,"An airport is one of the most complex engineering systems in existence. It must simultaneously achieve ultra-high levels of safety and security while providing high throughput of passengers and cargo on a daily basis. It is an integrated system of systems bringing together airlines, air traffic controllers, baggage and cargo handlers, airport operators, customs, immigration, and security officers, as well as various ancillary support services such as connection to ground transportation and the provision of food, beverage, and emergency services. If you can appreciate the multiple dimensions of planning and design of an airport system, you are well-prepared to tackle many other system of systems challenges.",,0,0,0,0,1,0,1,0,0,40.012;40.014,,
Airport Systems Modelling and Simulation,40.321,"Airports are complex systems that require the use of specialized modelling tools to be operated and managed efficiently. This course aims to provide students with appropriate knowledge and modelling skillset to critically apply simulation and optimization tools for airport systems planning, management and design. The modelling mindset is also applicable to other complex systems such as manufacturing facilities and hospitals. Topics include: airside capacity estimation, optimization of airport capacity utilization, airport demand management, simulation of airside aircraft movements, simulation of landside processes and air traffic flow management. A major aspect of this class is a final project where students are required to conduct a comprehensive simulation study on airport management using fast-time airport simulation tools (TAAM, Airtop, or CAST).",,0,0,0,0,0,1,0,1,0,40.002;40.015;40.320,,
Introduction to Information Systems & Programming,50.001,"This course is an introduction to the design and programming of information systems. Topics include object oriented programming, data structures, mobile system and programming, design pattern and use of software libraries. Sample applications include Internet of Things, Android app and data analytics.",,0,0,0,1,1,0,1,0,0,,,
Computation Structures,50.002,"This course introduces architecture of digital systems, emphasising structural principles common to a wide range of technologies. Topics include Multilevel implementation strategies; definition of new primitives (e.g., gates, instructions, procedures, and processes) and their mechanisation using lower-level elements. Analysis of potential concurrency; precedence constraints and performance measures; pipelined and multidimensional systems; instruction set design issues; architectural support for contemporary software structures.",,0,0,0,1,1,0,1,0,0,,,
Elements of Software Construction,50.003,"This course is an introduction to the fundamental principles and techniques of software construction that have greatest impact on practice. Topics include capturing the essence of a problem by recognizing and inventing suitable abstractions; key paradigms, including basic concepts of software design and their expression using notations from Unified Modeling Language (UML); software testing, automated software test generation, automated software security testing via blackbox, greybox and whitebox fuzzing approaches, detection and removal of software code smells, software coding standards to avoid security loopholes, concurrent programming, including programming with threads and processes, understanding concurrency problems like deadlock and data race. This course includes exercises in software design, implementation, testing and reasoning.",,0,0,0,1,0,1,0,1,0,50.001,,
Introduction to Alorithms,50.004,"This is an introductory course to mathematical modeling of computational problems, as well as common algorithms, algorithmic paradigms, and data structures used to solve these problems. It emphasizes the relationship between algorithms and programming, and introduces basic performance measures and analysis techniques for these problems.",,0,0,0,1,1,0,1,0,0,,,
Computer System Engineering,50.005,"Topics on the engineering of computing and networking systems: design challenges; techniques for controlling complexity; operating systems and networking systems: performance; strong modularity; client-server; naming; security and privacy, atomicity and coordination of concurrent activities; user and end-to-end applications. Case studies of working systems and readings from the current literature provide comparisons and contrasts. Students will complete two design/implementation projects.",,0,0,0,1,0,1,0,1,0,50.002,,
User Interface Design and Implementation,50.006,"The course will introduce the field of Human-Computer Interaction (HCI), Interaction Design and Usability in the context of today?€?s diverse interactive products. The course will cover usability principles, design guidelines and heuristics, user-centred design, usability engineering, user experience and evaluation techniques, and will include a series of mini design exercises and design-implementation projects. Students who successfully complete the course will be well-equipped with the concepts and language to argue and discuss how well a system?€?s front-end (e.g. a website, a mobile app, a museum kiosk, etc.) is designed and be able to design usable, easy-to-use, intuitive, attractive user-interfaces informed by the concepts and knowledge learned during the course.",,0,0,0,0,0,1,0,1,0,,,
Networks,50.012,"This course will introduce the principles and practice of computer networking, with emphasis on the Internet. Students will learn concepts, principles, protocols, and applications of computer networks, including packet switching, layered architectures, TCP/IP, physical layer, error control, window flow control, local area networks (Ethernet, Token Ring; FDDI), network layer, congestion control, quality of service, multicast, network programming interfaces, networked applications.",,0,0,0,0,1,0,1,0,0,50.005,,
Graphics and Visualisation,50.017,"Introduction to computer graphics algorithms, software and hardware. Topics include ray tracing, the graphics pipeline, transformations, texture mapping, shadows, sampling, global illumination, splines, animation, color, fundamentals of virtual and augmented reality (VR and AR).",,0,0,0,0,0,0,0,0,1,50.003,,
Network Security,50.020,"This course covers theory and practice of network security. Starting with general introduction of network security, this course focuses on Internet security. The first part addresses common security issues and countermeasures at each of the five layers from the TCP/IP protocol stack. Subsequently, Firewall and Intrusion Detection/ Prevention System are covered as two of the most common tools/technologies to protect a network. Finally, the course ends with special topics such as wireless network security, IoT security, etc.",,0,0,0,0,0,1,0,1,0,50.042,,
Artificial Intelligence,50.021,"Artificial intelligence (AI) is a rich field spanning formal systems for representing and processing symbolic information, computational models of human cognition, and a range of techniques for learning, planning and reasoning under uncertainty. In this course, students will gain an appreciation of what ?€?artificial intelligence?€? means, and how it can be usefully applied to real-world problems. Students will learn the intricacies of state-space search and constraint programming. Through an in-depth treatment of knowledge representation via propositional and first-order logic, students will understand how expert knowledge can be fed into and be processed by modern computers. In addition, students will acquire skills in using planning algorithms to find solutions to optimization problems, and understand how to use probabilistic reasoning to draw inferences in uncertain environments.",,0,0,0,0,0,0,0,0,1,,01.112;40.319,
Foundations of Game Design and Development,50.033,"This is an introductory course about the basic of game creation. This course provides an overview of different aspects of game development. Student will get in touch with C# Programming (industry standard), starting with console application, then GUI games on various platform with graphics, dialog boxes, and user control. There are also basic overview of topics including game architecture, interface design, graphics for game, audio for game, prototyping and play testing. Students will be able to implement their creative gaming idea by using the latest gaming tools which are easy and readily usable.",,0,0,0,0,0,0,0,0,1,50.001;50.004,,
Introduction to Probability and Statistics,50.034,"This course is an introduction to statistics and probability covering essential topics. Sample space, discrete and continuous random variables, probability distributions, joint and conditional distributions, expectation, transformation of random variables, limit theorems, estimation theory, hypothesis testing, confidence interval, statistical tests, and regression.",,0,0,0,1,0,1,0,1,0,,,
Computer Vision,50.035,"This is an advanced undergraduate level course on the concepts, algorithms and system design in computer vision. The particular focus in this course is on the underlying computational/mathematical principles, and data-driven and neural networks (aka ?€?deep learning?€?) approaches. The course introduces different computer vision tasks such as image/video classification, localization, detection, among others, and discusses different computational algorithms for these tasks, including recently proposed deep learning methods: convolutional neural networks (CNN), recurrent neural networks (RNN), long short-term memory (LSTM), Generative Adversarial Networks (GAN), etc. Students will learn to design, implement, train and debug their own systems and neural networks, and gain understanding of, and the skills to use, cutting-edge technologies in computer vision. A semester-long, 1-D design project requires students to design, implement, and train multi-million parameter neural networks to address real-world computer vision problems.",,0,0,0,0,0,1,0,1,0,,01.112;40.319,
Blockchain Technology,50.037,"Decentralized blockchain-based systems, such as Bitcoin and Ethereum, are successful beyond all expectations. Although still in their infancy, they promise to revolutionize how we think of financial, information, and other infrastructures. This course covers the technical aspects of public distributed ledgers, blockchain systems, cryptocurrencies, and smart contracts. Students will learn how these systems are built, how to interact with them, how to design and build secure distributed applications.",,0,0,0,0,0,1,0,1,0,,,
Computational Data Science,50.038,"This course provides students the necessary background and experience in data science technology and concepts. Students will gain experience with tackling a complete data science project, from data gathering and preprocessing to data analysis through machine learning tools. Students will learn to apply fundamental concepts in machine learning to data storage and distributed processing as a foundation for their project.",,0,0,0,0,1,0,1,0,0,,50.034;30.003;40.004,
Theory and Practice of Deep Learning,50.039,"The course goal is to familiarize students with deep learning for vision, text, reinforcement learning and multimodal combinations thereof. The meaning of deep learning for this course is the training and application of neural networks as prediction models for various setups of input and output modalities. The course will include coding a subset of approaches for vision ???so to avoid overlap with computer vision???, approaches for sequential data such as 1D?€?CNNs, temporal causal networks and recurrent neural networks, multimodal approaches and reinforcement learning methods. The coding will cover the whole chain from data loader to training to parameter tuning to performance evaluation. The course will also focus on important practical aspects which are required to make the training part of deep learning work on smaller datasets such as transfer learning, the various forms of data augmentation, different optimizers and learning rate tuning.",,0,0,0,0,0,1,0,1,0,,01.112;40.319,
Natural Language Processing,50.040,"Natural Language Processing (NLP) is an important area within the general field of artificial Intelligence (AI). Modern NLP models focus on using machine learning algorithms for solving various text processing problems. This course covers fundamental topics within the domain of NLP, including part-of-speech tagging, word embeddings, chunking, syntactic parsing, semantic role labeling, semantic parsing, named entity recognition, sentiment analysis, generation, summarization and machine translation. Students will get a chance to learn fundamental algorithms as well as state-of-the-art, deep-learning based techniques for NLP and will get a chance to implement and play with advanced NLP algorithms and models.",,0,0,0,0,0,0,0,0,1,,01.112;40.319,
Distributed Systems and Computing,50.041,"This course introduces fundamental concepts for designing and implementing large?€?scale distributed systems. The course will not only focus on the design aspects of distributed systems, but will also focus on the fundamental principles to ensure the correctness in a distributed environment. We will apply the concepts in implementing massively parallel systems using general?€?purpose graphics processing units (GPGPU) and distributed file systems to accommodate arbitrarily many application?€?level users. Finally, we will discuss concepts on recovering from faults in a distributed system.",,0,0,0,0,0,1,0,1,0,50.004,,
Foundations of Cybersecurity,50.042,"This course provides students with a basic appreciation and understanding of the core concepts of information security. Topics to be covered include concepts for confidentiality, integrity and availability; introduction to cybercrimes and security issues; threats to information systems and devices; cryptographic primitives such as symmetric and asymmetric cryptography; core problems such as random number generation, entropy, and key distribution; and common topics such as security protocols and public?€?key infrastructures.",,0,0,0,0,1,0,1,0,0,50.005,,
Database and Big Data,50.043,"This course covers the fundamentals of traditional databases, such as Oracle and MySQL, and core ideas of recent big data systems. Students will learn important problems in data management that these systems are designed to solve. They will experience with building applications on top of traditional databases, namely SQLite, and state?€?of?€?the?€?art big data platforms, namely MongoDB and Apache Spark. These systems will be running both locally and on the Amazon cloud (Amazon Web Service). The students will be able to determine for themselves the advantages and disadvantages of different systems.",,0,0,0,0,1,0,1,0,0,50.004;50.005,,
System Security,50.044,"This course covers the security of users, individual computer systems, including personal computers, smart cards and embedded platforms. The course starts with considerations of common security flaws in a computer system, security of widely used computer platforms and user authentication. Then, topics such as physical?€?layer attacks and tamper resistant hardware are discussed. Finally, the course ends with a set of selected security topics like biometrics, computer forensics, and Bitcoin.",,,,,0,0,0,0,0,1,50.042,,
Advance Topics in Optimisation & Stochastic Modelling,40.302&40.305,"This course is a follow-up to the ESD core course in Optimisation that students take in Term 4. The course will cover advanced topics in optimisation with a strong focus on modelling, formulations and optimisation techniques. Students will be introduced to the basics and design of algebraic modelling languages and spreadsheet models for describing optimisation problems. The primary application on which the course will be based is scheduling. Through the application, students will be exposed to advanced topics in optimisation such as proving optimality of schedules, integer programming formulations, heuristics, deterministic and stochastic dynamic optimization frameworks.<br>This is a follow-up to the introduction course on Stochastic Modelling. Students learn advanced methods in stochastic modelling with a focus on business, engineering and financial math applications. Topics to be covered include renewal theory and martingales (discrete time). Time permitting other topics such as branching processes, spatial processes or stochastic networks could be introduced.",,0,0,0,0,0,1,0,1,0,40.001;40.012;40.002,,
